Month,Hijri,Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
February,Rajab-Shaban,27,05:12 AM,06:27 AM,12:16 PM,03:35 PM,06:04 PM,07:20 PM
February,Rajab-Shaban,28,05:11 AM,06:26 AM,12:16 PM,03:36 PM,06:04 PM,07:20 PM
February,Rajab-Shaban,29,05:10 AM,06:25 AM,12:15 PM,03:36 PM,06:05 PM,07:21 PM
March,Shaban-Ramadan,1,05:09 AM,06:25 AM,12:15 PM,03:36 PM,06:05 PM,07:21 PM
March,Shaban-Ramadan,2,05:08 AM,06:24 AM,12:15 PM,03:36 PM,06:06 PM,07:22 PM
March,Shaban-Ramadan,3,05:07 AM,06:23 AM,12:15 PM,03:36 PM,06:06 PM,07:22 PM
March,Shaban-Ramadan,4,05:06 AM,06:22 AM,12:15 PM,03:36 PM,06:07 PM,07:23 PM
March,Shaban-Ramadan,5,05:05 AM,06:21 AM,12:14 PM,03:37 PM,06:07 PM,07:23 PM
March,Shaban-Ramadan,6,05:05 AM,06:20 AM,12:14 PM,03:37 PM,06:08 PM,07:24 PM
March,Shaban-Ramadan,7,05:04 AM,06:19 AM,12:14 PM,03:37 PM,06:08 PM,07:24 PM
March,Shaban-Ramadan,8,05:03 AM,06:18 AM,12:14 PM,03:37 PM,06:09 PM,07:25 PM
March,Shaban-Ramadan,9,05:02 AM,06:17 AM,12:13 PM,03:37 PM,06:09 PM,07:25 PM
March,Shaban-Ramadan,10,05:01 AM,06:16 AM,12:13 PM,03:37 PM,06:10 PM,07:26 PM
March,Shaban-Ramadan,11,05:00 AM,06:15 AM,12:13 PM,03:37 PM,06:10 PM,07:26 PM
March,Shaban-Ramadan,12,04:59 AM,06:14 AM,12:13 PM,03:37 PM,06:11 PM,07:27 PM
March,Shaban-Ramadan,13,04:58 AM,06:13 AM,12:12 PM,03:37 PM,06:11 PM,07:27 PM
March,Shaban-Ramadan,14,04:57 AM,06:12 AM,12:12 PM,03:37 PM,06:12 PM,07:28 PM
March,Shaban-Ramadan,15,04:56 AM,06:11 AM,12:12 PM,03:37 PM,06:12 PM,07:28 PM
March,Shaban-Ramadan,16,04:55 AM,06:10 AM,12:12 PM,03:37 PM,06:13 PM,07:29 PM
March,Shaban-Ramadan,17,04:53 AM,06:09 AM,12:11 PM,03:37 PM,06:13 PM,07:29 PM
March,Shaban-Ramadan,18,04:52 AM,06:08 AM,12:11 PM,03:37 PM,06:13 PM,07:30 PM
March,Shaban-Ramadan,19,04:51 AM,06:07 AM,12:11 PM,03:37 PM,06:14 PM,07:30 PM
March,Shaban-Ramadan,20,04:50 AM,06:06 AM,12:10 PM,03:37 PM,06:14 PM,07:31 PM
March,Shaban-Ramadan,21,04:49 AM,06:05 AM,12:10 PM,03:37 PM,06:15 PM,07:31 PM
March,Shaban-Ramadan,22,04:48 AM,06:04 AM,12:10 PM,03:37 PM,06:15 PM,07:32 PM
March,Shaban-Ramadan,23,04:47 AM,06:03 AM,12:10 PM,03:36 PM,06:16 PM,07:32 PM
March,Shaban-Ramadan,24,04:46 AM,06:02 AM,12:09 PM,03:36 PM,06:16 PM,07:32 PM
March,Shaban-Ramadan,25,04:45 AM,06:01 AM,12:09 PM,03:36 PM,06:16 PM,07:33 PM
March,Shaban-Ramadan,26,04:44 AM,06:00 AM,12:09 PM,03:36 PM,06:17 PM,07:33 PM
March,Shaban-Ramadan,27,04:43 AM,05:59 AM,12:08 PM,03:36 PM,06:17 PM,07:34 PM
March,Shaban-Ramadan,28,04:41 AM,05:58 AM,12:08 PM,03:36 PM,06:18 PM,07:35 PM
March,Shaban-Ramadan,29,04:40 AM,05:57 AM,12:08 PM,03:36 PM,06:18 PM,07:35 PM
March,Shaban-Ramadan,30,04:39 AM,05:56 AM,12:07 PM,03:35 PM,06:19 PM,07:36 PM
March,Shaban-Ramadan,31,04:38 AM,05:55 AM,12:07 PM,03:35 PM,06:19 PM,07:36 PM
April,Ramadan-Shawwal,1,04:37 AM,05:54 AM,12:07 PM,03:35 PM,06:19 PM,07:37 PM
April,Ramadan-Shawwal,2,04:36 AM,05:53 AM,12:07 PM,03:35 PM,06:20 PM,07:37 PM
April,Ramadan-Shawwal,3,04:35 AM,05:52 AM,12:06 PM,03:35 PM,06:20 PM,07:38 PM
April,Ramadan-Shawwal,4,04:34 AM,05:51 AM,12:06 PM,03:35 PM,06:21 PM,07:38 PM
April,Ramadan-Shawwal,5,04:33 AM,05:50 AM,12:06 PM,03:34 PM,06:21 PM,07:39 PM
April,Ramadan-Shawwal,6,04:31 AM,05:49 AM,12:05 PM,03:34 PM,06:22 PM,07:39 PM
April,Ramadan-Shawwal,7,04:30 AM,05:48 AM,12:05 PM,03:34 PM,06:22 PM,07:40 PM
April,Ramadan-Shawwal,8,04:29 AM,05:47 AM,12:05 PM,03:34 PM,06:22 PM,07:40 PM
April,Ramadan-Shawwal,9,04:28 AM,05:46 AM,12:05 PM,03:33 PM,06:23 PM,07:41 PM
April,Ramadan-Shawwal,10,04:27 AM,05:45 AM,12:04 PM,03:33 PM,06:23 PM,07:42 PM
April,Ramadan-Shawwal,11,04:26 AM,05:44 AM,12:04 PM,03:33 PM,06:24 PM,07:42 PM
April,Ramadan-Shawwal,12,04:25 AM,05:43 AM,12:04 PM,03:33 PM,06:24 PM,07:43 PM
April,Ramadan-Shawwal,13,04:24 AM,05:42 AM,12:03 PM,03:32 PM,06:25 PM,07:43 PM
April,Ramadan-Shawwal,14,04:23 AM,05:41 AM,12:03 PM,03:32 PM,06:25 PM,07:44 PM
April,Ramadan-Shawwal,15,04:21 AM,05:40 AM,12:03 PM,03:32 PM,06:26 PM,07:45 PM
April,Ramadan-Shawwal,16,04:20 AM,05:39 AM,12:03 PM,03:32 PM,06:26 PM,07:45 PM
April,Ramadan-Shawwal,17,04:19 AM,05:38 AM,12:03 PM,03:31 PM,06:26 PM,07:46 PM
April,Ramadan-Shawwal,18,04:18 AM,05:37 AM,12:02 PM,03:31 PM,06:27 PM,07:46 PM
April,Ramadan-Shawwal,19,04:17 AM,05:36 AM,12:02 PM,03:31 PM,06:27 PM,07:47 PM
April,Ramadan-Shawwal,20,04:16 AM,05:35 AM,12:02 PM,03:31 PM,06:28 PM,07:48 PM
April,Ramadan-Shawwal,21,04:15 AM,05:34 AM,12:02 PM,03:30 PM,06:28 PM,07:48 PM
April,Ramadan-Shawwal,22,04:14 AM,05:34 AM,12:01 PM,03:30 PM,06:29 PM,07:49 PM
April,Ramadan-Shawwal,23,04:13 AM,05:33 AM,12:01 PM,03:30 PM,06:29 PM,07:50 PM
April,Ramadan-Shawwal,24,04:12 AM,05:32 AM,12:01 PM,03:30 PM,06:30 PM,07:50 PM
April,Ramadan-Shawwal,25,04:11 AM,05:31 AM,12:01 PM,03:29 PM,06:30 PM,07:51 PM
April,Ramadan-Shawwal,26,04:10 AM,05:30 AM,12:01 PM,03:29 PM,06:31 PM,07:52 PM
April,Ramadan-Shawwal,27,04:09 AM,05:30 AM,12:01 PM,03:29 PM,06:31 PM,07:52 PM
April,Ramadan-Shawwal,28,04:08 AM,05:29 AM,12:00 PM,03:29 PM,06:32 PM,07:53 PM
April,Ramadan-Shawwal,29,04:07 AM,05:28 AM,12:00 PM,03:28 PM,06:32 PM,07:54 PM
April,Ramadan-Shawwal,30,04:06 AM,05:27 AM,12:00 PM,03:28 PM,06:33 PM,07:54 PM
May,Shawwal-DuhlQadah,1,04:05 AM,05:26 AM,12:00 PM,03:28 PM,06:33 PM,07:55 PM
May,Shawwal-DuhlQadah,2,04:04 AM,05:26 AM,12:00 PM,03:28 PM,06:34 PM,07:56 PM
May,Shawwal-DuhlQadah,3,04:03 AM,05:25 AM,12:00 PM,03:27 PM,06:34 PM,07:56 PM
May,Shawwal-DuhlQadah,4,04:02 AM,05:24 AM,12:00 PM,03:27 PM,06:35 PM,07:57 PM
May,Shawwal-DuhlQadah,5,04:02 AM,05:24 AM,12:00 PM,03:27 PM,06:35 PM,07:58 PM
May,Shawwal-DuhlQadah,6,04:01 AM,05:23 AM,12:00 PM,03:27 PM,06:36 PM,07:59 PM
May,Shawwal-DuhlQadah,7,04:00 AM,05:22 AM,12:00 PM,03:26 PM,06:36 PM,07:59 PM
May,Shawwal-DuhlQadah,8,03:59 AM,05:22 AM,12:00 PM,03:26 PM,06:37 PM,08:00 PM
May,Shawwal-DuhlQadah,9,03:58 AM,05:21 AM,11:59 AM,03:26 PM,06:37 PM,08:01 PM
May,Shawwal-DuhlQadah,10,03:57 AM,05:21 AM,11:59 AM,03:26 PM,06:38 PM,08:01 PM
May,Shawwal-DuhlQadah,11,03:57 AM,05:20 AM,11:59 AM,03:26 PM,06:38 PM,08:02 PM
May,Shawwal-DuhlQadah,12,03:56 AM,05:19 AM,11:59 AM,03:26 PM,06:39 PM,08:03 PM
May,Shawwal-DuhlQadah,13,03:55 AM,05:19 AM,11:59 AM,03:25 PM,06:39 PM,08:04 PM
May,Shawwal-DuhlQadah,14,03:55 AM,05:18 AM,11:59 AM,03:25 PM,06:40 PM,08:04 PM
May,Shawwal-DuhlQadah,15,03:54 AM,05:18 AM,11:59 AM,03:25 PM,06:40 PM,08:05 PM
May,Shawwal-DuhlQadah,16,03:53 AM,05:17 AM,11:59 AM,03:25 PM,06:41 PM,08:06 PM
May,Shawwal-DuhlQadah,17,03:53 AM,05:17 AM,11:59 AM,03:25 PM,06:41 PM,08:06 PM
May,Shawwal-DuhlQadah,18,03:52 AM,05:17 AM,11:59 AM,03:25 PM,06:42 PM,08:07 PM
May,Shawwal-DuhlQadah,19,03:51 AM,05:16 AM,12:00 PM,03:24 PM,06:42 PM,08:08 PM
May,Shawwal-DuhlQadah,20,03:51 AM,05:16 AM,12:00 PM,03:24 PM,06:43 PM,08:08 PM
May,Shawwal-DuhlQadah,21,03:50 AM,05:15 AM,12:00 PM,03:24 PM,06:43 PM,08:09 PM
May,Shawwal-DuhlQadah,22,03:50 AM,05:15 AM,12:00 PM,03:24 PM,06:44 PM,08:10 PM
May,Shawwal-DuhlQadah,23,03:49 AM,05:15 AM,12:00 PM,03:24 PM,06:44 PM,08:11 PM
May,Shawwal-DuhlQadah,24,03:49 AM,05:14 AM,12:00 PM,03:24 PM,06:45 PM,08:11 PM
May,Shawwal-DuhlQadah,25,03:48 AM,05:14 AM,12:00 PM,03:24 PM,06:45 PM,08:12 PM
May,Shawwal-DuhlQadah,26,03:48 AM,05:14 AM,12:00 PM,03:24 PM,06:46 PM,08:13 PM
May,Shawwal-DuhlQadah,27,03:47 AM,05:13 AM,12:00 PM,03:24 PM,06:46 PM,08:13 PM
May,Shawwal-DuhlQadah,28,03:47 AM,05:13 AM,12:00 PM,03:24 PM,06:47 PM,08:14 PM
May,Shawwal-DuhlQadah,29,03:47 AM,05:13 AM,12:00 PM,03:24 PM,06:47 PM,08:14 PM
May,Shawwal-DuhlQadah,30,03:46 AM,05:13 AM,12:01 PM,03:24 PM,06:48 PM,08:15 PM
May,Shawwal-DuhlQadah,31,03:46 AM,05:13 AM,12:01 PM,03:24 PM,06:48 PM,08:16 PM
June,DuhlQadah-DuhlHijjah,1,03:46 AM,05:13 AM,12:01 PM,03:24 PM,06:49 PM,08:16 PM
June,DuhlQadah-DuhlHijjah,2,03:45 AM,05:12 AM,12:01 PM,03:24 PM,06:49 PM,08:17 PM
June,DuhlQadah-DuhlHijjah,3,03:45 AM,05:12 AM,12:01 PM,03:24 PM,06:49 PM,08:17 PM
June,DuhlQadah-DuhlHijjah,4,03:45 AM,05:12 AM,12:01 PM,03:24 PM,06:50 PM,08:18 PM
June,DuhlQadah-DuhlHijjah,5,03:45 AM,05:12 AM,12:02 PM,03:24 PM,06:50 PM,08:18 PM
June,DuhlQadah-DuhlHijjah,6,03:45 AM,05:12 AM,12:02 PM,03:24 PM,06:51 PM,08:19 PM
June,DuhlQadah-DuhlHijjah,7,03:44 AM,05:12 AM,12:02 PM,03:24 PM,06:51 PM,08:19 PM
June,DuhlQadah-DuhlHijjah,8,03:44 AM,05:12 AM,12:02 PM,03:24 PM,06:51 PM,08:20 PM
June,DuhlQadah-DuhlHijjah,9,03:44 AM,05:12 AM,12:02 PM,03:24 PM,06:52 PM,08:20 PM
June,DuhlQadah-DuhlHijjah,10,03:44 AM,05:12 AM,12:03 PM,03:24 PM,06:52 PM,08:21 PM
June,DuhlQadah-DuhlHijjah,11,03:44 AM,05:12 AM,12:03 PM,03:24 PM,06:53 PM,08:21 PM
June,DuhlQadah-DuhlHijjah,12,03:44 AM,05:12 AM,12:03 PM,03:25 PM,06:53 PM,08:22 PM
June,DuhlQadah-DuhlHijjah,13,03:44 AM,05:12 AM,12:03 PM,03:25 PM,06:53 PM,08:22 PM
June,DuhlQadah-DuhlHijjah,14,03:44 AM,05:12 AM,12:03 PM,03:25 PM,06:54 PM,08:22 PM
June,DuhlQadah-DuhlHijjah,15,03:44 AM,05:12 AM,12:04 PM,03:25 PM,06:54 PM,08:23 PM
June,DuhlQadah-DuhlHijjah,16,03:44 AM,05:13 AM,12:04 PM,03:25 PM,06:54 PM,08:23 PM
June,DuhlQadah-DuhlHijjah,17,03:45 AM,05:13 AM,12:04 PM,03:25 PM,06:54 PM,08:23 PM
June,DuhlQadah-DuhlHijjah,18,03:45 AM,05:13 AM,12:04 PM,03:26 PM,06:55 PM,08:24 PM
June,DuhlQadah-DuhlHijjah,19,03:45 AM,05:13 AM,12:04 PM,03:26 PM,06:55 PM,08:24 PM
June,DuhlQadah-DuhlHijjah,20,03:45 AM,05:13 AM,12:05 PM,03:26 PM,06:55 PM,08:24 PM
June,DuhlQadah-DuhlHijjah,21,03:45 AM,05:13 AM,12:05 PM,03:26 PM,06:55 PM,08:24 PM
June,DuhlQadah-DuhlHijjah,22,03:46 AM,05:14 AM,12:05 PM,03:27 PM,06:56 PM,08:25 PM
June,DuhlQadah-DuhlHijjah,23,03:46 AM,05:14 AM,12:05 PM,03:27 PM,06:56 PM,08:25 PM
June,DuhlQadah-DuhlHijjah,24,03:46 AM,05:14 AM,12:06 PM,03:27 PM,06:56 PM,08:25 PM
June,DuhlQadah-DuhlHijjah,25,03:46 AM,05:14 AM,12:06 PM,03:27 PM,06:56 PM,08:25 PM
June,DuhlQadah-DuhlHijjah,26,03:47 AM,05:15 AM,12:06 PM,03:27 PM,06:56 PM,08:25 PM
June,DuhlQadah-DuhlHijjah,27,03:47 AM,05:15 AM,12:06 PM,03:28 PM,06:56 PM,08:25 PM
June,DuhlQadah-DuhlHijjah,28,03:48 AM,05:15 AM,12:06 PM,03:28 PM,06:56 PM,08:25 PM
June,DuhlQadah-DuhlHijjah,29,03:48 AM,05:16 AM,12:07 PM,03:28 PM,06:56 PM,08:25 PM
June,DuhlQadah-DuhlHijjah,30,03:48 AM,05:16 AM,12:07 PM,03:29 PM,06:57 PM,08:25 PM
July,DuhlHijjah-Muharram,1,03:49 AM,05:16 AM,12:07 PM,03:29 PM,06:57 PM,08:25 PM
July,DuhlHijjah-Muharram,2,03:49 AM,05:17 AM,12:07 PM,03:29 PM,06:57 PM,08:25 PM
July,DuhlHijjah-Muharram,3,03:50 AM,05:17 AM,12:07 PM,03:29 PM,06:57 PM,08:25 PM
July,DuhlHijjah-Muharram,4,03:50 AM,05:17 AM,12:08 PM,03:30 PM,06:57 PM,08:25 PM
July,DuhlHijjah-Muharram,5,03:51 AM,05:18 AM,12:08 PM,03:30 PM,06:57 PM,08:25 PM
July,DuhlHijjah-Muharram,6,03:51 AM,05:18 AM,12:08 PM,03:30 PM,06:56 PM,08:24 PM
July,DuhlHijjah-Muharram,7,03:52 AM,05:19 AM,12:08 PM,03:31 PM,06:56 PM,08:24 PM
July,DuhlHijjah-Muharram,8,03:52 AM,05:19 AM,12:08 PM,03:31 PM,06:56 PM,08:24 PM
July,DuhlHijjah-Muharram,9,03:53 AM,05:19 AM,12:08 PM,03:31 PM,06:56 PM,08:24 PM
July,DuhlHijjah-Muharram,10,03:53 AM,05:20 AM,12:08 PM,03:31 PM,06:56 PM,08:23 PM
July,DuhlHijjah-Muharram,11,03:54 AM,05:20 AM,12:09 PM,03:32 PM,06:56 PM,08:23 PM
July,DuhlHijjah-Muharram,12,03:55 AM,05:21 AM,12:09 PM,03:32 PM,06:56 PM,08:23 PM
July,DuhlHijjah-Muharram,13,03:55 AM,05:21 AM,12:09 PM,03:32 PM,06:55 PM,08:22 PM
July,DuhlHijjah-Muharram,14,03:56 AM,05:22 AM,12:09 PM,03:32 PM,06:55 PM,08:22 PM
July,DuhlHijjah-Muharram,15,03:57 AM,05:22 AM,12:09 PM,03:33 PM,06:55 PM,08:22 PM
July,DuhlHijjah-Muharram,16,03:57 AM,05:22 AM,12:09 PM,03:33 PM,06:55 PM,08:21 PM
July,DuhlHijjah-Muharram,17,03:58 AM,05:23 AM,12:09 PM,03:33 PM,06:54 PM,08:21 PM
July,DuhlHijjah-Muharram,18,03:58 AM,05:23 AM,12:09 PM,03:33 PM,06:54 PM,08:20 PM
July,DuhlHijjah-Muharram,19,03:59 AM,05:24 AM,12:09 PM,03:34 PM,06:54 PM,08:20 PM
July,DuhlHijjah-Muharram,20,04:00 AM,05:24 AM,12:09 PM,03:34 PM,06:53 PM,08:19 PM
July,DuhlHijjah-Muharram,21,04:00 AM,05:25 AM,12:09 PM,03:34 PM,06:53 PM,08:19 PM
July,DuhlHijjah-Muharram,22,04:01 AM,05:25 AM,12:10 PM,03:34 PM,06:53 PM,08:18 PM
July,DuhlHijjah-Muharram,23,04:02 AM,05:26 AM,12:10 PM,03:35 PM,06:52 PM,08:17 PM
July,DuhlHijjah-Muharram,24,04:02 AM,05:26 AM,12:10 PM,03:35 PM,06:52 PM,08:17 PM
July,DuhlHijjah-Muharram,25,04:03 AM,05:27 AM,12:10 PM,03:35 PM,06:51 PM,08:16 PM
July,DuhlHijjah-Muharram,26,04:04 AM,05:27 AM,12:10 PM,03:35 PM,06:51 PM,08:15 PM
July,DuhlHijjah-Muharram,27,04:04 AM,05:28 AM,12:10 PM,03:35 PM,06:50 PM,08:15 PM
July,DuhlHijjah-Muharram,28,04:05 AM,05:28 AM,12:10 PM,03:35 PM,06:50 PM,08:14 PM
July,DuhlHijjah-Muharram,29,04:06 AM,05:29 AM,12:10 PM,03:36 PM,06:49 PM,08:13 PM
July,DuhlHijjah-Muharram,30,04:06 AM,05:29 AM,12:09 PM,03:36 PM,06:49 PM,08:12 PM
July,DuhlHijjah-Muharram,31,04:07 AM,05:30 AM,12:09 PM,03:36 PM,06:48 PM,08:12 PM
August,Muharram-Safar,1,04:08 AM,05:30 AM,12:09 PM,03:36 PM,06:47 PM,08:11 PM
August,Muharram-Safar,2,04:09 AM,05:30 AM,12:09 PM,03:36 PM,06:47 PM,08:10 PM
August,Muharram-Safar,3,04:09 AM,05:31 AM,12:09 PM,03:36 PM,06:46 PM,08:09 PM
August,Muharram-Safar,4,04:10 AM,05:31 AM,12:09 PM,03:36 PM,06:46 PM,08:08 PM
August,Muharram-Safar,5,04:11 AM,05:32 AM,12:09 PM,03:36 PM,06:45 PM,08:08 PM
August,Muharram-Safar,6,04:11 AM,05:32 AM,12:09 PM,03:36 PM,06:44 PM,08:07 PM
August,Muharram-Safar,7,04:12 AM,05:33 AM,12:09 PM,03:36 PM,06:44 PM,08:06 PM
August,Muharram-Safar,8,04:13 AM,05:33 AM,12:09 PM,03:36 PM,06:43 PM,08:05 PM
August,Muharram-Safar,9,04:13 AM,05:34 AM,12:09 PM,03:36 PM,06:42 PM,08:04 PM
August,Muharram-Safar,10,04:14 AM,05:34 AM,12:08 PM,03:36 PM,06:41 PM,08:03 PM
August,Muharram-Safar,11,04:14 AM,05:35 AM,12:08 PM,03:36 PM,06:41 PM,08:02 PM
August,Muharram-Safar,12,04:15 AM,05:35 AM,12:08 PM,03:36 PM,06:40 PM,08:01 PM
August,Muharram-Safar,13,04:16 AM,05:35 AM,12:08 PM,03:36 PM,06:39 PM,08:00 PM
August,Muharram-Safar,14,04:16 AM,05:36 AM,12:08 PM,03:36 PM,06:38 PM,07:59 PM
August,Muharram-Safar,15,04:17 AM,05:36 AM,12:07 PM,03:36 PM,06:37 PM,07:58 PM
August,Muharram-Safar,16,04:18 AM,05:37 AM,12:07 PM,03:36 PM,06:36 PM,07:57 PM
August,Muharram-Safar,17,04:18 AM,05:37 AM,12:07 PM,03:36 PM,06:36 PM,07:56 PM
August,Muharram-Safar,18,04:19 AM,05:38 AM,12:07 PM,03:35 PM,06:35 PM,07:55 PM
August,Muharram-Safar,19,04:19 AM,05:38 AM,12:07 PM,03:35 PM,06:34 PM,07:54 PM
August,Muharram-Safar,20,04:20 AM,05:38 AM,12:06 PM,03:35 PM,06:33 PM,07:53 PM
August,Muharram-Safar,21,04:21 AM,05:39 AM,12:06 PM,03:35 PM,06:32 PM,07:52 PM
August,Muharram-Safar,22,04:21 AM,05:39 AM,12:06 PM,03:35 PM,06:31 PM,07:51 PM
August,Muharram-Safar,23,04:22 AM,05:40 AM,12:06 PM,03:35 PM,06:30 PM,07:49 PM
August,Muharram-Safar,24,04:22 AM,05:40 AM,12:05 PM,03:34 PM,06:29 PM,07:48 PM
August,Muharram-Safar,25,04:23 AM,05:40 AM,12:05 PM,03:34 PM,06:28 PM,07:47 PM
August,Muharram-Safar,26,04:23 AM,05:41 AM,12:05 PM,03:34 PM,06:27 PM,07:46 PM
August,Muharram-Safar,27,04:24 AM,05:41 AM,12:04 PM,03:33 PM,06:26 PM,07:45 PM
August,Muharram-Safar,28,04:25 AM,05:42 AM,12:04 PM,03:33 PM,06:25 PM,07:44 PM
August,Muharram-Safar,29,04:25 AM,05:42 AM,12:04 PM,03:33 PM,06:24 PM,07:43 PM
August,Muharram-Safar,30,04:26 AM,05:42 AM,12:04 PM,03:33 PM,06:23 PM,07:42 PM
August,Muharram-Safar,31,04:26 AM,05:43 AM,12:03 PM,03:32 PM,06:22 PM,07:40 PM
September,Safar-RabiUlAwal,1,04:27 AM,05:43 AM,12:03 PM,03:32 PM,06:21 PM,07:39 PM
September,Safar-RabiUlAwal,2,04:27 AM,05:43 AM,12:03 PM,03:31 PM,06:20 PM,07:38 PM
September,Safar-RabiUlAwal,3,04:28 AM,05:44 AM,12:02 PM,03:31 PM,06:19 PM,07:37 PM
September,Safar-RabiUlAwal,4,04:28 AM,05:44 AM,12:02 PM,03:31 PM,06:18 PM,07:36 PM
September,Safar-RabiUlAwal,5,04:29 AM,05:45 AM,12:02 PM,03:30 PM,06:17 PM,07:35 PM
September,Safar-RabiUlAwal,6,04:29 AM,05:45 AM,12:01 PM,03:30 PM,06:16 PM,07:34 PM
September,Safar-RabiUlAwal,7,04:30 AM,05:45 AM,12:01 PM,03:29 PM,06:15 PM,07:32 PM
September,Safar-RabiUlAwal,8,04:30 AM,05:46 AM,12:01 PM,03:29 PM,06:14 PM,07:31 PM
September,Safar-RabiUlAwal,9,04:31 AM,05:46 AM,12:00 PM,03:29 PM,06:13 PM,07:30 PM
September,Safar-RabiUlAwal,10,04:31 AM,05:46 AM,12:00 PM,03:28 PM,06:12 PM,07:29 PM
September,Safar-RabiUlAwal,11,04:31 AM,05:47 AM,12:00 PM,03:28 PM,06:11 PM,07:28 PM
September,Safar-RabiUlAwal,12,04:32 AM,05:47 AM,11:59 AM,03:27 PM,06:10 PM,07:27 PM
September,Safar-RabiUlAwal,13,04:32 AM,05:47 AM,11:59 AM,03:27 PM,06:09 PM,07:25 PM
September,Safar-RabiUlAwal,14,04:33 AM,05:48 AM,11:59 AM,03:26 PM,06:08 PM,07:24 PM
September,Safar-RabiUlAwal,15,04:33 AM,05:48 AM,11:58 AM,03:26 PM,06:07 PM,07:23 PM
September,Safar-RabiUlAwal,16,04:34 AM,05:49 AM,11:58 AM,03:25 PM,06:06 PM,07:22 PM
September,Safar-RabiUlAwal,17,04:34 AM,05:49 AM,11:57 AM,03:25 PM,06:05 PM,07:21 PM
September,Safar-RabiUlAwal,18,04:35 AM,05:49 AM,11:57 AM,03:24 PM,06:04 PM,07:20 PM
September,Safar-RabiUlAwal,19,04:35 AM,05:50 AM,11:57 AM,03:23 PM,06:02 PM,07:18 PM
September,Safar-RabiUlAwal,20,04:35 AM,05:50 AM,11:56 AM,03:23 PM,06:01 PM,07:17 PM
September,Safar-RabiUlAwal,21,04:36 AM,05:50 AM,11:56 AM,03:22 PM,06:00 PM,07:16 PM
September,Safar-RabiUlAwal,22,04:36 AM,05:51 AM,11:56 AM,03:22 PM,05:59 PM,07:15 PM
September,Safar-RabiUlAwal,23,04:37 AM,05:51 AM,11:55 AM,03:21 PM,05:58 PM,07:14 PM
September,Safar-RabiUlAwal,24,04:37 AM,05:51 AM,11:55 AM,03:21 PM,05:57 PM,07:13 PM
